Date,Value,Anomaly
1970,73.8,-1.3
1971,73.1,-2
1972,75.1,0
1973,74.5,-0.6
1974,76.8,1.7
1975,75.8,0.7
1976,71.5,-3.6
1977,76.1,1
1978,76.3,1.2
1979,72.5,-2.6
1980,76.6,1.5
1981,72.1,-3
1982,75.8,0.7
1983,73,-2.1
1984,74.2,-0.9
1985,74.4,-0.7
1986,76.7,1.6
1987,77.3,2.2
1988,74.1,-1
1989,76.1,1
1990,76.2,1.1
1991,76.8,1.7
1992,72.9,-2.2
1993,73.1,-2
1994,73.7,-1.4
1995,77.4,2.3
1996,77.1,2
1997,73.3,-1.8
1998,78.1,3
1999,75,-0.1
2000,78.7,3.6
2001,74.8,-0.3
2002,75.1,0
2003,78,2.9
2004,75,-0.1
2005,73.6,-1.5
2006,74.9,-0.2
2007,74.5,-0.6
